ptid;enid;name;fullname
5530;9400;532H12FeltSlutterHSide1FeltMotReduksjonTil2GjgFelt;532.H12 - Felt slutter, h. side, 1 felt mot, reduksjon til 2 gjg. felt i fartsretning
5530;9401;532H13FeltSlutterHSide1FeltMotReduksjonTil3GjgFelt;532.H13 - Felt slutter, h. side, 1 felt mot, reduksjon til 3 gjg. felt i fartsretning
5530;8919;532H21KjfSlutterHøyreSide2FeltMotReduksjonTil1GjgF;532.H21 - Kjf. slutter, høyre side, 2 felt mot, reduksjon til 1 gjg. felt i fartsretn.
5530;9402;532H22FeltSlutterHSide2FeltMotReduksjonTil2GjgFelt;532.H22 - Felt slutter, h. side, 2 felt mot, reduksjon til 2 gjg. felt i fartsretning
5530;9403;532H23FeltSlutterHSide2FeltMotReduksjonTil3GjgFelt;532.H23 - Felt slutter, h. side, 2 felt mot, reduksjon til 3 gjg. felt i fartsretning
5530;7717;532V01KjfSlutterVenstreSideMotgTrafikkAtskiltReduk;532.V01 - Kjf. slutter, venstre side, motg. trafikk atskilt, reduksjon til 1 gjg. felt i fartsretn.
5530;8921;532V02KjfSlutterVenstreSideMotgTrafikkAtskiltReduk;532.V02 - Kjf. slutter, venstre side, motg. trafikk atskilt, reduksjon til 2 gjg. felt i fartsretn.
5530;8922;532V03KjfSlutterVenstreSideMotgTrafikkAtskiltReduk;532.V03 - Kjf. slutter, venstre side, motg. trafikk atskilt, reduksjon til 3 gjg. felt i fartsretn.
5530;8923;532V04KjfSlutterVenstreSideMotgTrafikkAtskiltReduk;532.V04 - Kjf. slutter, venstre side, motg. trafikk atskilt, reduksjon til 4 gjg. felt i fartsretn.
5530;9404;532V05FeltSlutterVSideMotgTrafikkAtskiltReduksjonT;532.V05 - Felt slutter, v. side, motg. trafikk atskilt, reduksjon til 5 gjg. felt i fartsretning
5530;9405;532V06FeltSlutterVSideMotgTrafikkAtskiltReduksjonT;532.V06 - Felt slutter, v. side, motg. trafikk atskilt, reduksjon til 6 gjg. felt i fartsretning
5530;8924;532V11KjfSlutterVenstreSide1FeltMotReduksjonTil1Gj;532.V11 - Kjf. slutter, venstre side, 1 felt mot, reduksjon til 1 gjg. felt i fartsretn.
5530;9406;532V12FeltSlutterVSide1FeltMotReduksjonTil2GjgFelt;532.V12 - Felt slutter, v. side, 1 felt mot, reduksjon til 2 gjg. felt i fartsretning
5530;9407;532V13FeltSlutterVSide1FeltMotReduksjonTil3GjgFelt;532.V13 - Felt slutter, v. side, 1 felt mot, reduksjon til 3 gjg. felt i fartsretning
5530;8925;532V21KjfSlutterVenstreSide2FeltMotReduksjonTil1Gj;532.V21 - Kjf. slutter, venstre side, 2 felt mot, reduksjon til 1 gjg. felt i fartsretn.
5530;9408;532V22FeltSlutterVSide2FeltMotReduksjonTil2GjgFelt;532.V22 - Felt slutter, v. side, 2 felt mot, reduksjon til 2 gjg. felt i fartsretning
5530;9409;532V23FeltSlutterVSide2FeltMotReduksjonTil3GjgFelt;532.V23 - Felt slutter, v. side, 2 felt mot, reduksjon til 3 gjg. felt i fartsretning
5530;8933;534H01KjfBegHøyreSideMotgTrafikkAtskilt1GjgFeltIFa;534.H01 - Kjf. beg., høyre side, motg. trafikk atskilt, 1 gjg. felt i fartsretn.
5530;7720;534H02KjfBegHøyreSideMotgTrafikkAtskilt2GjgFeltIFa;534.H02 - Kjf. beg., høyre side, motg. trafikk atskilt, 2 gjg. felt i fartsretn.
5530;8934;534H03KjfBegHøyreSideMotgTrafikkAtskilt3GjgFeltIFa;534.H03 - Kjf. beg., høyre side, motg. trafikk atskilt, 3 gjg. felt i fartsretn.
5530;8935;534H04KjfBegHøyreSideMotgTrafikkAtskilt4GjgFeltIFa;534.H04 - Kjf. beg., høyre side, motg. trafikk atskilt, 4 gjg. felt i fartsretn.
5530;9410;534H05FeltBegynnerHSideMotgTrafikkAtskilt5GjgFeltI;534.H05 - Felt begynner, h. side, motg. trafikk atskilt, 5 gjg. felt i fartsretning
5530;9411;534H06FeltBegynnerHSideMotgTrafikkAtskilt6GjgFeltI;534.H06 - Felt begynner, h. side, motg. trafikk atskilt, 6 gjg. felt i fartsretning
5530;8936;534H11KjørefeltBegynnerHøyreSide1FeltMot1Gjennomgå;534.H11 - Kjørefelt begynner, høyre side, 1 felt mot, 1 gjennomgående felt i fartsretning
5530;9412;534H12KjørefeltBegynnerHøyreSide1FeltMot2Gjennomgå;534.H12 - Kjørefelt begynner, høyre side, 1 felt mot, 2 gjennomgående felt i fartsretning
5530;9413;534H13KjørefeltBegynnerHøyreSide1FeltMot3Gjennomgå;534.H13 - Kjørefelt begynner, høyre side, 1 felt mot, 3 gjennomgående felt i fartsretning
5530;8937;534H21KjørefeltBegynnerHøyreSide2FeltMot1Gjennomgå;534.H21 - Kjørefelt begynner, høyre side, 2 felt mot, 1 gjennomgående felt i fartsretning
5530;9803;534H22KjørefeltBegynnerHøyreSide2FeltMot2Gjennomgå;534.H22 - Kjørefelt begynner, høyre side, 2 felt mot, 2 gjennomgående felt i fartsretning
5530;9804;534H23KjørefeltBegynnerHøyreSide2FeltMot3Gjennomgå;534.H23 - Kjørefelt begynner, høyre side, 2 felt mot, 3 gjennomgående felt i fartsretning
5530;8927;534V01KjfBegVenstreSideMotgTrafikkAtskilt1GjgFeltI;534.V01 - Kjf. beg., venstre side, motg. trafikk atskilt, 1 gjg. felt i fartsretn.
5530;8928;534V02KjfBegVenstreSideMotgTrafikkAtskilt2GjgFeltI;534.V02 - Kjf. beg., venstre side, motg. trafikk atskilt, 2 gjg. felt i fartsretn.
5530;8929;534V03KjfBegVenstreSideMotgTrafikkAtskilt3GjgFeltI;534.V03 - Kjf. beg., venstre side, motg. trafikk atskilt, 3 gjg. felt i fartsretn.
5530;8930;534V04KjfBegVenstreSideMotgTrafikkAtskilt4GjgFeltI;534.V04 - Kjf. beg., venstre side, motg. trafikk atskilt, 4 gjg. felt i fartsretn.
5530;9414;534V05FeltBegynnerVSideMotgTrafikkAtskilt5GjgFeltI;534.V05 - Felt begynner, v. side, motg. trafikk atskilt, 5 gjg. felt i fartsretning
5530;9415;534V06FeltBegynnerVSideMotgTrafikkAtskilt6GjgFeltI;534.V06 - Felt begynner, v. side, motg. trafikk atskilt, 6 gjg. felt i fartsretning
5530;7719;534V11KjørefeltBegynnerVenstreSide1FeltMot1Gjennom;534.V11 - Kjørefelt begynner, venstre side, 1 felt mot, 1 gjennomgående felt i fartsretning
5530;9416;534V12KjørefeltBegynnerVenstreSide1FeltMot2Gjennom;534.V12 - Kjørefelt begynner, venstre side, 1 felt mot, 2 gjennomgående felt i fartsretning
5530;9417;534V13KjørefeltBegynnerVenstreSide1FeltMot3Gjennom;534.V13 - Kjørefelt begynner, venstre side, 1 felt mot, 3 gjennomgående felt i fartsretning
5530;8931;534V21KjørefeltBegynnerVenstreSide2FeltMot1Gjennom;534.V21 - Kjørefelt begynner, venstre side, 2 felt mot, 1 gjennomgående felt i fartsretning
5530;9418;534V22KjørefeltBegynnerVenstreSide2FeltMot2Gjennom;534.V22 - Kjørefelt begynner, venstre side, 2 felt mot, 2 gjennomgående felt i fartsretning
5530;9419;534V23KjørefeltBegynnerVenstreSide2FeltMot3Gjennom;534.V23 - Kjørefelt begynner, venstre side, 2 felt mot, 3 gjennomgående felt i fartsretning
5530;7721;536101PåkjFortsIEgetKjfGjgVegMotgTrafikkAtskilt1Gj;536.101 - Påkj. forts. i eget kjf., gjg. veg, motg. trafikk atskilt, 1 gjg. felt i fartsretn.
5530;8939;536102PåkjFortsIEgetKjfGjgVegMotgTrafikkAtskilt2Gj;536.102 - Påkj. forts. i eget kjf., gjg. veg, motg. trafikk atskilt, 2 gjg. felt i fartsretn.
5530;8940;536103PåkjFortsIEgetKjfGjgVegMotgTrafikkAtskilt3Gj;536.103 - Påkj. forts. i eget kjf., gjg. veg, motg. trafikk atskilt, 3 gjg. felt i fartsretn.
5530;8941;536104PåkjFortsIEgetKjfGjgVegMotgTrafikkAtskilt4Gj;536.104 - Påkj. forts. i eget kjf., gjg. veg, motg. trafikk atskilt, 4 gjg. felt i fartsretn.
5530;9420;536105PåkjøringFortsIEgetFeltGjgVegMotgTrafikkAtsk;536.105 - Påkjøring forts. i eget felt, gjg. veg, motg. trafikk atskilt, 5 gjg. felt i fartsretning
5530;9421;536106PåkjøringFortsIEgetFeltGjgVegMotgTrafikkAtsk;536.106 - Påkjøring forts. i eget felt, gjg. veg, motg. trafikk atskilt, 6 gjg. felt i fartsretning
5530;8942;536111PåkjFortsIEgetKjfGjgVeg1FeltMot1GjgFeltIFart;536.111 - Påkj. forts. i eget kjf., gjg. veg, 1 felt mot 1, gjg. felt i fartsretn.
5530;9422;536112PåkjøringFortsIEgetFeltGjgVeg1FeltMot2GjgFel;536.112 - Påkjøring forts. i eget felt, gjg. veg, 1 felt mot, 2 gjg. felt i fartsretning
5530;9423;536113PåkjøringFortsIEgetFeltGjgVeg1FeltMot3GjgFel;536.113 - Påkjøring forts. i eget felt, gjg. veg, 1 felt mot, 3 gjg. felt i fartsretning
5530;8943;536121PåkjFortsIEgetKjfGjgVeg2FeltMot1GjgFeltIFart;536.121 - Påkj. forts. i eget kjf., gjg. veg, 2 felt mot 1, gjg. felt i fartsretn.
5530;9424;536122PåkjøringFortsIEgetFeltGjgVeg2FeltMot2GjgFel;536.122 - Påkjøring forts. i eget felt, gjg. veg, 2 felt mot, 2 gjg. felt i fartsretning
5530;9425;536123PåkjøringFortsIEgetFeltGjgVeg2FeltMot3GjgFel;536.123 - Påkjøring forts. i eget felt, gjg. veg, 2 felt mot, 3 gjg. felt i fartsretning
5530;7722;536201PåkjFortsIEgetKjfTilkjøringsvegMotgTrafikkAt;536.201 - Påkj. forts. i eget kjf., tilkjøringsveg, motg. trafikk atskilt, 1 gjg. felt i fartsretn.
