ftid;name
438;TilstandSkadeSkiltplate
276;TilstandSkadeSkiltpunkt
529;TilstandSkadeSkulderKant
294;TilstandSkadeStrekning
879;TilstandsgradKumTest
877;TilstandsgradSidegrøftDypTest
899;TilstandsgradSkjermTest
878;TilstandsgradStikkrenneKulvertTe
795;TiltakØkologiskeVerdier
243;Toalettanlegg
527;Trafikanttilbud
887;Trafikkberedskapsklasse
708;TrafikkdataITellepunkt
172;Trafikkdeler
707;Trafikkindeks
47;Trafikklomme
540;Trafikkmengde
798;TrafikkmengdeKjørefelt
482;Trafikkregistreringsstasjon
856;Trafikkreguleringer
342;Trafikkspeil
638;Trafikkstasjon
570;Trafikkulykke
49;Trafikkøy
466;Trafo
539;Transportlenke
875;Trapp
853;Trekkekum
852;TrekkerørKanal
199;Trær
581;Tunnel
67;Tunnelløp
447;TunnelløpUtenTrafikk
776;Tunnelovervåkning
854;Tunnelport
69;Tunnelportal
448;Tunnelsjakt
777;Turistveg
528;Tverrprofil
715;Ulykkesfrekvens
571;UlykkesinvolvertEnhet
572;UlykkesinvolvertPerson
716;Ulykkespunkt
717;Ulykkesstrekning
880;UlykkesstrekningEgendefinert
452;Undergang
303;Undergrunn
468;UPS
28;Utemøbler
70;VannOgFrostsikring
882;Vannhåndteringsanlegg
464;Vannstandsmåler
97;VariabeltSkilt
30;Veganlegg
537;Vegavdeling
722;Vegbilder
23;Vegbom
583;Vegbredde
838;VegbreddeBeregnet
241;Vegdekke
629;VegdekkeFlatelapping
614;VegdekkeFresing
628;VegdekkeSporfylling
831;Vegdekkeklasse
615;Vegflate
577;Vegfunksjon
631;Vegkommentar
37;Vegkryss
757;VeglisteVedlegg
786;Vegminne
604;Vegnormalstrekning
836;VegoppmerkingForsterket
99;VegoppmerkingLangsgående
519;VegoppmerkingTverrgående
532;Vegreferanse
895;VegROSPunkt
269;VegskulderVegkant
607;Vegsperring
541;Vegstandard
485;Vegstengning
155;Vekt
278;Ventilasjonsanlegg
212;VifteVentilator
291;Viltfare
498;ViltskremmereVarslere
165;Vindmåler
810;Vinterdriftsklasse
106;Vinterdriftsstrategi
769;Vlenkeid
234;Voll
605;VærrelatertStrekning
153;Værstasjon
107;VærutsattVeg
