ptid;enid;name
1148;14292;BFOU (I) 250V  1x2x0.75 S3/S7 Grey
1148;14319;BFOU (I) 250V  1x2x1.5 S3/S7 Blue
1148;14318;BFOU (I) 250V  1x2x1.5 S3/S7 Grey
1148;14307;BFOU (I) 250V  1x3x0.75 S3/S7 Blue
1148;14306;BFOU (I) 250V  1x3x0.75 S3/S7 Grey
1148;14332;BFOU (I) 250V  1x3x1.5 S3/S7 Grey
1148;14294;BFOU (I) 250V  2x2x0.75 S3/S7 Grey
1148;14296;BFOU (I) 250V  4x2x0.75 S3/S7 Grey
1148;14322;BFOU (I) 250V  4x2x1.5 S3/S7 Grey
1148;14298;BFOU (I) 250V  8x2x0.75 S3/S7 Grey
1148;14301;BFOU (I) 250V 12x2x0.75 S3/S7 Blue
1148;14300;BFOU (I) 250V 12x2x0.75 S3/S7 Grey
1148;14327;BFOU (I) 250V 12x2x1.5 S3/S7 Blue
1148;14326;BFOU (I) 250V 12x2x1.5 S3/S7 Grey
1148;14315;BFOU (I) 250V 12x3x0.75 S3/S7 Blue
1148;14314;BFOU (I) 250V 12x3x0.75 S3/S7 Grey
1148;14341;BFOU (I) 250V 12x3x1.5 S3/S7 Blue
1148;14340;BFOU (I) 250V 12x3x1.5 S3/S7 Grey
1148;14303;BFOU (I) 250V 16x2x0.75 S3/S7 Blue
1148;14302;BFOU (I) 250V 16x2x0.75 S3/S7 Grey
1148;14329;BFOU (I) 250V 16x2x1.5 S3/S7 Blue
1148;14328;BFOU (I) 250V 16x2x1.5 S3/S7 Grey
1148;14317;BFOU (I) 250V 16x3x0.75 S3/S7 Blue
1148;14316;BFOU (I) 250V 16x3x0.75 S3/S7 Grey
1148;14343;BFOU (I) 250V 16x3x1.5 S3/S7 Blue
1148;14342;BFOU (I) 250V 16x3x1.5 S3/S7 Grey
1148;14344;BFOU (I) 250V 1x2x2.5 S3/S7 Grey
1148;14333;BFOU (I) 250V 1x3x1.5 S3/S7 Blue
1148;14305;BFOU (I) 250V 24x2x0.75 S3/S7 Blue
1148;14304;BFOU (I) 250V 24x2x0.75 S3/S7 Grey
1148;14331;BFOU (I) 250V 24x2x1.5 S3/S7 Blue
1148;14330;BFOU (I) 250V 24x2x1.5 S3/S7 Grey
1148;14295;BFOU (I) 250V 2x2x0.75 S3/S7 Blue
1148;14321;BFOU (I) 250V 2x2x1.5 S3/S7 Blue
1148;14320;BFOU (I) 250V 2x2x1.5 S3/S7 Grey
1148;14309;BFOU (I) 250V 2x3x0.75 S3/S7 Blue
1148;14308;BFOU (I) 250V 2x3x0.75 S3/S7 Grey
1148;14335;BFOU (I) 250V 2x3x1.5 S3/S7 Blue
1148;14334;BFOU (I) 250V 2x3x1.5 S3/S7 Grey
1148;14297;BFOU (I) 250V 4x2x0.75 S3/S7 Blue
1148;14323;BFOU (I) 250V 4x2x1.5 S3/S7 Blue
1148;14311;BFOU (I) 250V 4x3x0.75 S3/S7 Blue
