ptid;enid;name
1148;14351;BFOU (C) 250V  12x2x0.75 S4/S8 Grey
1148;14373;BFOU (C) 250V  12x2x1.5 S4/S8 Grey
1148;14353;BFOU (C) 250V  16x2x0.75 S4/S8 Grey
1148;14346;BFOU (C) 250V  2x2x0.75 S4/S8 Blue
1148;14345;BFOU (C) 250V  2x2x0.75 S4/S8 Grey
1148;14367;BFOU (C) 250V  2x2x1.5 S4/S8 Grey
1148;14348;BFOU (C) 250V  4x2x0.75 S4/S8 Blue
1148;14347;BFOU (C) 250V  4x2x0.75 S4/S8 Grey
1148;14369;BFOU (C) 250V  4x2x1.5 S4/S8 Grey
1148;14350;BFOU (C) 250V  8x2x0.75 S4/S8 Blue
1148;14349;BFOU (C) 250V  8x2x0.75 S4/S8 Grey
1148;14371;BFOU (C) 250V  8x2x1.5 S4/S8 Grey
1148;14352;BFOU (C) 250V 12x2x0.75 S4/S8 Blue
1148;14374;BFOU (C) 250V 12x2x1.5 S4/S8 Blue
1148;14364;BFOU (C) 250V 12x3x0.75 S4/S8 Blue
1148;14363;BFOU (C) 250V 12x3x0.75 S4/S8 Grey
1148;14386;BFOU (C) 250V 12x3x1.5 S4/S8 Blue
1148;14385;BFOU (C) 250V 12x3x1.5 S4/S8 Grey
1148;14354;BFOU (C) 250V 16x2x0.75 S4/S8 Blue
1148;14376;BFOU (C) 250V 16x2x1.5 S4/S8 Blue
1148;14375;BFOU (C) 250V 16x2x1.5 S4/S8 Grey
1148;14366;BFOU (C) 250V 16x3x0.75 S4/S8 Blue
1148;14365;BFOU (C) 250V 16x3x0.75 S4/S8 Grey
1148;14388;BFOU (C) 250V 16x3x1.5 S4/S8 Blue
1148;14387;BFOU (C) 250V 16x3x1.5 S4/S8 Grey
1148;14356;BFOU (C) 250V 24x2x0.75 S4/S8 Blue
1148;14355;BFOU (C) 250V 24x2x0.75 S4/S8 Grey
1148;14378;BFOU (C) 250V 24x2x1.5 S4/S8 Blue
1148;14377;BFOU (C) 250V 24x2x1.5 S4/S8 Grey
1148;14368;BFOU (C) 250V 2x2x1.5 S4/S8 Blue
1148;14358;BFOU (C) 250V 2x3x0.75 S4/S8 Blue
1148;14357;BFOU (C) 250V 2x3x0.75 S4/S8 Grey
1148;14380;BFOU (C) 250V 2x3x1.5 S4/S8 Blue
1148;14379;BFOU (C) 250V 2x3x1.5 S4/S8 Grey
1148;14370;BFOU (C) 250V 4x2x1.5 S4/S8 Blue
1148;14360;BFOU (C) 250V 4x3x0.75 S4/S8 Blue
1148;14359;BFOU (C) 250V 4x3x0.75 S4/S8 Grey
1148;14382;BFOU (C) 250V 4x3x1.5 S4/S8 Blue
1148;14381;BFOU (C) 250V 4x3x1.5 S4/S8 Grey
1148;14372;BFOU (C) 250V 8x2x1.5 S4/S8 Blue
1148;14362;BFOU (C) 250V 8x3x0.75 S4/S8 Blue
1148;14361;BFOU (C) 250V 8x3x0.75 S4/S8 Grey
1148;14384;BFOU (C) 250V 8x3x1.5 S4/S8 Blue
1148;14383;BFOU (C) 250V 8x3x1.5 S4/S8 Grey
1148;14293;BFOU (I) 250V  1x2x0.75 S3/S7 Blue
1148;14292;BFOU (I) 250V  1x2x0.75 S3/S7 Grey
1148;14319;BFOU (I) 250V  1x2x1.5 S3/S7 Blue
1148;14318;BFOU (I) 250V  1x2x1.5 S3/S7 Grey
1148;14307;BFOU (I) 250V  1x3x0.75 S3/S7 Blue
1148;14306;BFOU (I) 250V  1x3x0.75 S3/S7 Grey
1148;14332;BFOU (I) 250V  1x3x1.5 S3/S7 Grey
1148;14294;BFOU (I) 250V  2x2x0.75 S3/S7 Grey
1148;14296;BFOU (I) 250V  4x2x0.75 S3/S7 Grey
1148;14322;BFOU (I) 250V  4x2x1.5 S3/S7 Grey
1148;14298;BFOU (I) 250V  8x2x0.75 S3/S7 Grey
1148;14301;BFOU (I) 250V 12x2x0.75 S3/S7 Blue
1148;14300;BFOU (I) 250V 12x2x0.75 S3/S7 Grey
1148;14327;BFOU (I) 250V 12x2x1.5 S3/S7 Blue
1148;14326;BFOU (I) 250V 12x2x1.5 S3/S7 Grey
1148;14315;BFOU (I) 250V 12x3x0.75 S3/S7 Blue
1148;14314;BFOU (I) 250V 12x3x0.75 S3/S7 Grey
1148;14341;BFOU (I) 250V 12x3x1.5 S3/S7 Blue
1148;14340;BFOU (I) 250V 12x3x1.5 S3/S7 Grey
1148;14303;BFOU (I) 250V 16x2x0.75 S3/S7 Blue
1148;14302;BFOU (I) 250V 16x2x0.75 S3/S7 Grey
1148;14329;BFOU (I) 250V 16x2x1.5 S3/S7 Blue
1148;14328;BFOU (I) 250V 16x2x1.5 S3/S7 Grey
1148;14317;BFOU (I) 250V 16x3x0.75 S3/S7 Blue
1148;14316;BFOU (I) 250V 16x3x0.75 S3/S7 Grey
1148;14343;BFOU (I) 250V 16x3x1.5 S3/S7 Blue
1148;14342;BFOU (I) 250V 16x3x1.5 S3/S7 Grey
1148;14344;BFOU (I) 250V 1x2x2.5 S3/S7 Grey
1148;14333;BFOU (I) 250V 1x3x1.5 S3/S7 Blue
1148;14305;BFOU (I) 250V 24x2x0.75 S3/S7 Blue
1148;14304;BFOU (I) 250V 24x2x0.75 S3/S7 Grey
1148;14331;BFOU (I) 250V 24x2x1.5 S3/S7 Blue
1148;14330;BFOU (I) 250V 24x2x1.5 S3/S7 Grey
1148;14295;BFOU (I) 250V 2x2x0.75 S3/S7 Blue
1148;14321;BFOU (I) 250V 2x2x1.5 S3/S7 Blue
1148;14320;BFOU (I) 250V 2x2x1.5 S3/S7 Grey
1148;14309;BFOU (I) 250V 2x3x0.75 S3/S7 Blue
1148;14308;BFOU (I) 250V 2x3x0.75 S3/S7 Grey
1148;14335;BFOU (I) 250V 2x3x1.5 S3/S7 Blue
1148;14334;BFOU (I) 250V 2x3x1.5 S3/S7 Grey
1148;14297;BFOU (I) 250V 4x2x0.75 S3/S7 Blue
1148;14323;BFOU (I) 250V 4x2x1.5 S3/S7 Blue
1148;14311;BFOU (I) 250V 4x3x0.75 S3/S7 Blue
1148;14310;BFOU (I) 250V 4x3x0.75 S3/S7 Grey
1148;14337;BFOU (I) 250V 4x3x1.5 S3/S7 Blue
1148;14336;BFOU (I) 250V 4x3x1.5 S3/S7 Grey
1148;14299;BFOU (I) 250V 8x2x0.75 S3/S7 Blue
1148;14325;BFOU (I) 250V 8x2x1.5 S3/S7 Blue
1148;14324;BFOU (I) 250V 8x2x1.5 S3/S7 Grey
1148;14313;BFOU (I) 250V 8x3x0.75 S3/S7 Blue
1148;14312;BFOU (I) 250V 8x3x0.75 S3/S7 Grey
1148;14339;BFOU (I) 250V 8x3x1.5 S3/S7 Blue
1148;14338;BFOU (I) 250V 8x3x1.5 S3/S7 Grey
1148;14154;BFOU 0.6/1kV  12x1.5/10  P5/P12
1148;14156;BFOU 0.6/1kV  19x1.5/10  P5/P12
1148;14121;BFOU 0.6/1kV  1x300/16  P5/P12
1148;14122;BFOU 0.6/1kV  2x1,5/4  P5/P12
1148;14123;BFOU 0.6/1kV  2x2,5/6  P5/P12
1148;14125;BFOU 0.6/1kV  2x6/6  P5/P12
1148;14128;BFOU 0.6/1kV  3x1,5/6  P5/P12
1148;14132;BFOU 0.6/1kV  3x10/10  P5/P12
1148;14133;BFOU 0.6/1kV  3x16/16  P5/P12
1148;14129;BFOU 0.6/1kV  3x2.5/6  P5/P12
1148;14135;BFOU 0.6/1kV  3x35/16  P5/P12
1148;14131;BFOU 0.6/1kV  3x6/6  P5/P12
1148;14141;BFOU 0.6/1kV  4x1.5/6  P5/P12
1148;14146;BFOU 0.6/1kV  4x16/16  P5/P12
1148;14142;BFOU 0.6/1kV  4x2.5/6  P5/P12
1148;14147;BFOU 0.6/1kV  4x25/16  P5/P12
1148;14149;BFOU 0.6/1kV  4x50/25  P5/P12
1148;14144;BFOU 0.6/1kV  4x6/6  P5/P12
1148;14151;BFOU 0.6/1kV  4x95/50  P5/P12
1148;14152;BFOU 0.6/1kV  7x1.5/6  P5/P12
1148;14155;BFOU 0.6/1kV 12x2,5 /10 P5/P12
1148;14157;BFOU 0.6/1kV 19x2,5 /10 P5/P12
1148;14118;BFOU 0.6/1kV 1x150/10 P5/P12
1148;14119;BFOU 0.6/1kV 1x185 / 10 P5/P12
1148;14120;BFOU 0.6/1kV 1x240/16 P5/P12
1148;14117;BFOU 0.6/1kV 1x95/10 P5/P12
1148;14158;BFOU 0.6/1kV 27x1,5 /16 P5/P12
1148;14159;BFOU 0.6/1kV 27x2,5 /16 P5/P12
1148;14126;BFOU 0.6/1kV 2x10/ 10 P5/P12
1148;14127;BFOU 0.6/1kV 2x16/ 16 P5/P12
1148;14124;BFOU 0.6/1kV 2x4 /6 P5/P12
1148;14139;BFOU 0.6/1kV 3x120/60 P5/P12
1148;14140;BFOU 0.6/1kV 3x150/60 P5/P12
1148;14134;BFOU 0.6/1kV 3x25 / 16 P5/P12
1148;14130;BFOU 0.6/1kV 3x4 /6 P5/P12
1148;14136;BFOU 0.6/1kV 3x50 / 25 P5/P12
1148;14137;BFOU 0.6/1kV 3x70 / 35 P5/P12
1148;14138;BFOU 0.6/1kV 3x95 /50 P5/P12
1148;14145;BFOU 0.6/1kV 4x10/ 10 P5/P12
1148;14148;BFOU 0.6/1kV 4x35 / 16 P5/P12
1148;14143;BFOU 0.6/1kV 4x4 /6 P5/P12
1148;14150;BFOU 0.6/1kV 4x70/ 35 P5/P12
1148;14153;BFOU 0.6/1kV 7x2.5/6 P5/P12
1148;14651;BFSI 1KV 2X6/6
1148;14656;BFSI 1KV 3X10/10
1148;14663;BFSI 1KV 3X150/70
1148;14657;BFSI 1KV 3X16/16
1148;14658;BFSI 1KV 3X25/16
1148;14659;BFSI 1KV 3X35/16
1148;14660;BFSI 1KV 3X50/25
1148;14655;BFSI 1KV 3X6/6
1148;14661;BFSI 1KV 3X70/35
1148;14662;BFSI 1KV 3X95/50
1148;14667;BFSI 1KV 4X10/10
1148;14673;BFSI 1KV 4X150/70
1148;14668;BFSI 1KV 4X16/16
1148;14669;BFSI 1KV 4X25/16
1148;14670;BFSI 1KV 4X35/16
1148;14671;BFSI 1KV 4X50/25
1148;14666;BFSI 1KV 4X6/6
1148;14672;BFSI 1KV 4X70/35
1148;14649;BFSI-EMC 1KV 2X1,5/1,5
1148;14650;BFSI-EMC 1KV 2X2,5/2,5
1148;14652;BFSI-EMC 1KV 3X1,5/1,5
1148;14653;BFSI-EMC 1KV 3X2,5/2,5
1148;14654;BFSI-EMC 1KV 3X4/4
1148;14664;BFSI-EMC 1KV 4X1,5/1,5
1148;14665;BFSI-EMC 1KV 4X2,5/2,5
1148;14674;BI 500V 3G1,5
1148;14675;BI 500V 3G2,5
1148;14449;CATV 0,8/3,6 59F 67% PVC
1148;14448;CATV 0,8/3,6 59F 67% PVC B2 130
1148;14442;CATV 0,8/3,6 59F tri 77% PVC
1148;14451;CATV 1,0/4,6 6F 60% PVC
1148;14450;CATV 1,0/4,6 6F 60% PVC B2 100
1148;14444;CATV 1,0/4,6 6F tri 77% LSZH
1148;14445;CATV 1,0/4,6 6F tri 77% PEF
1148;14443;CATV 1,0/4,6 6F tri 77% PVC
1148;14446;CATV 1,6/7,3 11F tri 77% LSZH
1148;14447;CATV 1,6/7,3 11F tri 77% PEF
1148;14794;EFSP 3KV 1X6/6 SORT
1148;14676;EX 1KV 2X25A
1148;14677;EX 1KV 3X25A
1148;14678;EX 1KV 3X50A
1148;14679;EX 1KV 3X95A
1148;14680;EX 1KV 4X25A
1148;14681;EX 1KV 4X50A
1148;14682;EX 1KV 4X95A
1148;14414;G12-50 TB LSZH  OM2
1148;14404;G12-50 TBW ST LSZH OM2
1148;14409;G12-50 TBW ST LSZH OM3
1148;14115;G12-50 UT30 LSZH OM2
1148;14392;G12-62,5 TB LSZH  OM1
1148;14397;G12-62,5 TBW LSZH  OM1
1148;14430;G12-62,5/125 QIQG-ø3,7-R1,0  TIA
1148;14421;G12-9 AWAI
1148;14083;G12-9 GRSQBDV
1148;14097;G12-9 QXWE 0403LV-D7,0
1148;14103;G12-9 QXWE 0403LV-D9,0
1148;14091;G12-9 QXWE 0403LV-W1,4
1148;14111;G12-9 QXWE W0,7 MONO
1148;14064;G12-9 QXXE-0403LV-D
1148;14070;G12-9D QXXE (2,3 mm)
1148;14426;G12-9D TB LSZH
1148;14419;G12-9D TBW ST LSZH
1148;14428;G12-9D/125 QIQG-ø3,7-R1,0  TIA
1148;14101;G144-9 QXWE 0403LV-D7,0
1148;14107;G144-9 QXWE 0403LV-D9,0
1148;14095;G144-9 QXWE 0403LV-W1,4
1148;14068;G144-9 QXXE-0403LV-D
1148;14074;G144-9D QXXE (2,3 mm)
1148;14102;G192-9 QXWE 0403LV-D7,0
1148;14108;G192-9 QXWE 0403LV-D9,0
1148;14096;G192-9 QXWE 0403LV-W1,4
1148;14069;G192-9 QXXE-0403LV-D
1148;14415;G24-50 TB LSZH  OM2
1148;14405;G24-50 TBW ST LSZH OM2
1148;14410;G24-50 TBW ST LSZH OM3
1148;14116;G24-50 UT30 LSZH OM2
1148;14393;G24-62,5 TB LSZH  OM1
1148;14398;G24-62,5 TBW LSZH  OM1
1148;14431;G24-62,5/125 QIQG-ø3,7-R1,0  TIA
1148;14078;G24-657A1 QXXE MIKRO (1,6 mm)
1148;14422;G24-9 AWAI
1148;14084;G24-9 GRSQBDV
1148;14098;G24-9 QXWE 0403LV-D7,0
1148;14104;G24-9 QXWE 0403LV-D9,0
1148;14092;G24-9 QXWE 0403LV-W1,4
1148;14065;G24-9 QXXE-0403LV-D
1148;14088;G24-9 QXXI
1148;14071;G24-9D QXXE (2,3 mm)
1148;14427;G24-9D TB LSZH
1148;14420;G24-9D TBW ST LSZH
1148;14429;G24-9D/125 QIQG-ø3,7-R1,0  TIA
1148;14399;G2-50 ZC LSZH  OM2
1148;14400;G2-62,5 ZC LSZH  OM1, Rød
1148;14075;G288-9D QXXE-0403LV-D
1148;14076;G384-9D QXXE-0403LV-D
1148;14077;G432-9D QXXE-0403LV-D
1148;14411;G4-50 TB LSZH  OM2
1148;14401;G4-50 TBW ST LSZH OM2
1148;14406;G4-50 TBW ST LSZH OM3
1148;14112;G4-50 UT30 LSZH  OM2
1148;14389;G4-62,5 TB LSZH  OM1
1148;14394;G4-62,5 TBW LSZH  OM1
1148;14079;G48-657A1 QXXE MIKRO (1,6 mm)
1148;14085;G48-9 GRSQBDV
1148;14099;G48-9 QXWE 0403LV-D7,0
1148;14105;G48-9 QXWE 0403LV-D9,0
1148;14093;G48-9 QXWE 0403LV-W1,4
1148;14066;G48-9 QXXE-0403LV-D
1148;14089;G48-9 QXXI
1148;14072;G48-9D QXXE (2,3 mm)
1148;14081;G4-9 GRSQBDV
1148;14109;G4-9 QXWE W0,7 MONO
1148;14423;G4-9D TB LSZH
1148;14416;G4-9D TBW ST LSZH
1148;14412;G6-50 TB LSZH  OM2
1148;14113;G6-50 UT30 LSZH  OM2
1148;14402;G6-50 TBW ST LSZH OM2
1148;14390;G6-62,5 TB LSZH  OM1
1148;14407;G6-50 TBW ST LSZH OM3
1148;14395;G6-62,5 TBW LSZH  OM1
1148;14424;G6-9D TB LSZH
1148;14417;G6-9D TBW ST LSZH
1148;14086;G72-9 GRSQBDV
1148;14413;G8-50 TB LSZH  OM2
1148;14403;G8-50 TBW ST LSZH OM2
1148;14408;G8-50 TBW ST LSZH OM3
1148;14114;G8-50 UT30 LSZH  OM2
1148;14391;G8-62,5 TB LSZH  OM1
1148;14396;G8-62,5 TBW LSZH  OM1
1148;14082;G8-9 GRSQBDV
1148;14110;G8-9 QXWE W0,7 MONO
1148;14425;G8-9D TB LSZH
1148;14418;G8-9D TBW ST LSZH
1148;14080;G96-657A1 QXXE MIKRO (1,6 mm)
1148;14087;G96-9 GRSQBDV
1148;14100;G96-9 QXWE 0403LV-D7,0
1148;14106;G96-9 QXWE 0403LV-D9,0
1148;14094;G96-9 QXWE 0403LV-W1,4
1148;14067;G96-9 QXXE-0403LV-D
1148;14090;G96-9 QXXI
1148;14073;G96-9D QXXE (2,3 mm)
1148;14646;IFLI 250V 2X1/1 MM - R
1148;14645;IFLI 250V 2x1/1-R B2 150
1148;14631;IFLI 500V 2X1,5/1,5
1148;14623;IFLI 500V 2X1,5/1,5 (BUNT)
1148;14632;IFLI 500V 2X2,5/2,5
1148;14624;IFLI 500V 2X2,5/2,5 (BUNT)
1148;14633;IFLI 500V 2X4/4
1148;14625;IFLI 500V 2X4/4 (BUNT)
1148;14634;IFLI 500V 2X6/6
1148;14626;IFLI 500V 2X6/6 (BUNT)
1148;14635;IFLI 500V 3X1,5/1,5
1148;14627;IFLI 500V 3X1,5/1,5 (BUNT)
1148;14636;IFLI 500V 3X2,5/2,5
1148;14628;IFLI 500V 3X2,5/2,5 (BUNT)
1148;14637;IFLI 500V 4X1,5/1,5
1148;14629;IFLI 500V 4X1,5/1,5 (BUNT)
1148;14638;IFLI 500V 4X2,5/2,5
1148;14630;IFLI 500V 4X2,5/2,5 (BUNT)
1148;14591;IFSI 1KV 3X10/10
1148;14597;IFSI 1KV 3X150/70
1148;14572;IFSI 1KV 3X150A/41
1148;14592;IFSI 1KV 3X16/16
1148;14573;IFSI 1KV 3X240 A/72
1148;14593;IFSI 1KV 3X25/16
1148;14569;IFSI 1KV 3X25A/10
1148;14594;IFSI 1KV 3X35/16
1148;14595;IFSI 1KV 3X50/25
1148;14570;IFSI 1KV 3X50A/15
1148;14571;IFSI 1KV 3X95 A/29
1148;14596;IFSI 1KV 3X95/50
1148;14598;IFSI 1KV 4X10/10
1148;14605;IFSI 1KV 4X120/70
1148;14606;IFSI 1KV 4X150/70
1148;14577;IFSI 1KV 4X150A/41
1148;14599;IFSI 1KV 4X16/16
1148;14607;IFSI 1KV 4X185/95
1148;14608;IFSI 1KV 4X240/120
1148;14578;IFSI 1KV 4X240A/72
1148;14574;IFSI 1KV 4X25 A/10
1148;14600;IFSI 1KV 4X25/16
