ptid;enid;name;fullname
9675;13947;;Helikopter
9676;13948;;Stat
9676;13949;;Fylkeskommune
9676;13950;;Kommune
9676;13951;;Privat
9676;17665;;Uavklart
1651;3295;;Tunnel, hele profilet
1651;3297;;Tunnel, heng og vegger
1651;3299;;Tunnel, heng
1651;3303;;Tunnel, såle
1651;3308;;Tunnel, høyre vegg
1651;3305;;Tunnel, venstre vegg
1651;3314;;Tunnel, høyre vegg og heng
1651;3316;;Tunnel, venstre vegg og heng
1651;12999;;Tunnel, halve profil høyre side
1651;13000;;Tunnel, Halve profil venstre side
1651;15877;;Dagen, skjæring
1651;15878;;Dagen, naturlig terreng
1133;12995;;Bart berg
1133;3290;;Bolter
1133;3291;;Nett
1133;13210;;Nett, ubåtnett
1133;13212;;Nett, isnett
1133;13211;;Nett, steinsprangnett
1133;15879;;Anker
1133;3289;;Fjellbånd
1133;12250;;Sprøytebetong
1133;12251;;Sprøytebetongbuer, enkel
1133;12252;;Sprøytebetongbuer, dobbel
9166;12253;;Uarmert
9166;12254;;Med PP-fiber
9166;12255;;Med stålfiber
9166;12256;;Med armeringsnett
9677;13952;;Statens Vegvesen
9677;13953;;Kommune
9677;13954;;Privat
9677;17765;;Uavklart
9168;12257;;Enkel
9168;12258;;Dobbel
9168;12259;;Ingen armering
1996;3429;;Asfaltmembran
1996;3430;;Foliemembran
1996;3431;;Ikke membran
1650;3294;;Hele profilet
1650;3296;;Himling
1650;3302;;Såle
10873;17912;;Stat
10873;17915;;Fylkeskommune
10873;17913;;Kommune
10873;17914;;Privat
10873;17916;;Uavklart
4130;5096;;Stauder
4130;5098;;Utplantningsplanter
4130;5099;;Løkbeplantninger
4130;9814;;Roser
4130;9818;;Klatreplanter
4130;16181;;Sedummatter
8783;11623;;Statens vegvesen
8783;11621;;Kommune
8783;11622;;Privat
8783;17760;;Uavklart
9390;13132;;AutoPASS + manuell
9390;13133;;AutoPASS + automatisk
9390;13134;;Kun manuell
7992;10258;;Stat
7992;10720;;Fylkeskommune
7992;10322;;Kommune
7992;10386;;Privat
7992;17577;;Uavklart
9404;13253;;Ja
9404;13254;;Nei
9414;13259;;Med metrering
9414;13260;;Mot metrering
9414;13261;;Begge retninger
9409;13255;;Ja
9409;13256;;Nei
9412;13257;;Ja
9412;13258;;Nei
5799;8194;;Statens vegvesen
5799;8220;;Kommune
5799;8246;;Privat
5799;17687;;Uavklart
8035;10301;;Stat
8035;10762;;Fylkeskommune
8035;10365;;Kommune
8035;10429;;Privat
8035;17656;;Uavklart
3774;4834;;Optiskt
3774;16015;;Gass
3774;4835;;Termisk
3774;16016;;IR-kamera
3774;16027;;Kombinert
3774;4833;;Manuell
8110;10504;;Statens vegvesen
8110;10582;;Kommune
8110;10660;;Privat
8110;17751;;Uavklart
8033;10299;;Stat
8033;10760;;Fylkeskommune
8033;10363;;Kommune
8033;10427;;Privat
8033;17654;;Uavklart
3777;5041;;Sprinkleranlegg
3777;5042;;Hallogen brannslokkingsanlegg
3777;13036;;Vanntåke
8108;10502;;Statens vegvesen
8108;10580;;Kommune
8108;10658;;Privat
8108;17749;;Uavklart
4021;16018;;5
4021;5049;;6
4021;5050;;12
3739;16019;;Ja
3739;16020;;Nei
1206;3373;;Pulverapparat
1206;5048;;Skumapparat
1206;4917;;CO-apparat
8034;10300;;Stat
8034;10761;;Fylkeskommune
8034;10364;;Kommune
8034;10428;;Privat
8034;17642;;Uavklart
8109;10503;;Statens vegvesen
8109;10581;;Kommune
8109;10659;;Privat
8109;17750;;Uavklart
2110;4624;;Skjønn
2110;4625;;Målt
1263;7304;;Vegbru
1263;7305;;Bru i fylling
1263;7306;;G/S-bru
1263;7307;;Ferjeleie
1263;7309;;Tunnel/Vegoverbygg
1263;7310;;Støttekonstruksjon
1263;7311;;Jernbanebru
1263;7312;;Annen byggv.kategori
9182;12333;1;Kulvert/rør (1)
9182;12334;10;Kulvert/rør (10)
9182;12335;100;Kulvert/rør (100)
9182;12336;11;Kulvert, plassp (11)
9182;12337;110;Kulvert, plassp (110)
9182;12338;111;Kulvert, plassp (111)
9182;12339;112;Kulvert, plassp (112)
9182;12340;113;Kulvert, plassp (113)
9182;12341;114;Kulvert, plassp (114)
9182;12342;119;Kulvert, plassp (119)
9182;12343;12;Kulvert, pref. (12)
9182;12344;120;Kulvert, pref. (120)
9182;12345;121;Kulvert, pref. (121)
9182;12346;122;Kulvert, pref. (122)
9182;12347;123;Kulvert, pref. (123)
9182;12348;124;Kulvert, pref. (124)
9182;12349;129;Kulvert, pref. (129)
9182;12350;13;Bjelkeramme (13)
9182;12351;130;Bjelkeramme (130)
