ftid;name
874;Sykkeltilbud_Riksvegrute
794;Systemobjekt
859;TaktileIndikatorer
816;TaljerLøfteutstyr
166;Teledybdemåler
473;Telefonsentral
284;TilstandSkade_Rekkverk
707;Trafikkindeks
47;Trafikklomme
199;Trær
581;Tunnel
107;VærutsattVeg
