ptid;enid;name
9391;13181;E69 Fatima
9409;13255;Ja
9409;13256;Nei
9412;13257;Ja
9412;13258;Nei
5799;8194;Statens vegvesen
5799;8220;Kommune
5799;8246;Privat
8035;10301;Stat
8035;10762;Fylkeskommune
8035;10365;Kommune
8035;10429;Privat
3774;4834;Optiskt
3774;16015;Gass
3774;4835;Termisk
3774;16016;IR-kamera
3774;16027;Kombinert
3774;4833;Manuell
8110;10504;Statens vegvesen
8110;10582;Kommune
8110;10660;Privat
8033;10299;Stat
8033;10760;Fylkeskommune
8033;10363;Kommune
8033;10427;Privat
3777;5041;Sprinkleranlegg
3777;5042;Hallogen brannslokkingsanlegg
3777;13036;Vanntåke
8108;10502;Statens vegvesen
8108;10580;Kommune
8108;10658;Privat
4021;16018;5
4021;5049;6
4021;5050;12
3739;16019;Ja
3739;16020;Nei
1206;3373;Pulverapparat
1206;5048;Skumapparat
1206;4917;CO-apparat
8034;10300;Stat
8034;10761;Fylkeskommune
8034;10364;Kommune
8034;10428;Privat
8109;10503;Statens vegvesen
8109;10581;Kommune
8109;10659;Privat
4157;5107;Løvfellende
4157;5108;Vintergrønne
4506;5290;Matjord
4506;5291;Gress
4506;5292;Barklag
4131;5101;Busker, frittstående
4131;5102;Buskfelt
4131;5103;Hekk, formklippet
4131;5104;Buskroser
4131;5105;Buskas
4505;5293;Statens vegvesen
4505;5294;Kommune
4505;5295;Privat
1266;3437;Kontroll-/vektstasjon
1266;3438;Servicebygg
1266;12915;Teknisk bygg
1266;3439;Lager
1266;3440;Trafikksentral
1266;3436;Bompenge-/billettinnkreving
1266;3441;Trafostasjon
1266;4088;Bolighus
1266;9089;Pumpestasjon
1266;5464;Sanitær-/toalettanlegg
1266;7989;Brøytestasjon
1266;7990;Garasje
1266;7991;Driftsbygning
1266;7992;Telefonkiosk
1407;2191;Tre
1407;2209;Betong
1407;2232;Metall, stål, galvanisert
1603;2155;Malt
1603;2162;Beiset
1603;2168;Impregnert
1603;2174;Oljet
1603;16962;Ubehandlet
9261;12912;Frittliggende
9261;12913;I tunnel/fjellrom
1974;3444;Stålplater
1974;3442;Takstein
1974;12914;Betong/murstein
1974;3443;Skifer
1974;3446;Papp
1974;3445;Torvtak
9149;12232;Statens vegvesen
9149;12233;Kommune
9149;12234;Privat
5144;6942;Anlegg
5144;6943;Vedlikehold
8742;11571;Øvre bærelag
8742;11572;Nedre bærelag
5533;7878;Ja
5533;7879;Nei
5531;7849;11
5531;7850;16
5531;7851;19
5531;7852;22
5531;7853;24
5531;7854;26
5531;7855;32
5531;7856;50
5531;7857;53
5531;7858;54
5531;7859;63
5531;7860;64
5531;7861;80
1211;3660;Mekanisk stabiliserte materialer
1211;3661;Grus
1211;3662;Velgraderte materialer
1211;3663;Grus, uten tilfredst. naturlig gradering
1211;3686;Grus, u tf. naturlig gradering, fv knusing
1211;3664;Knust stein
1211;3665;Forkilt pukk
1211;6960;Knust grus
1211;6961;Knust fjell
1211;3666;Bitumenstabiliserte materialer
1211;3667;Asfaltert grus
1211;3668;Asfaltert pukk
1211;3669;Penetrert pukk
1211;3670;Asfaltert sand
1211;3671;Bitumesnstabilisert grus
1211;3672;Freste asfaltmaterialer
1211;3673;Gjenbrukte asfaltmaterialer
1211;16134;Knust asfalt
1211;3674;Sementstabiliserte materialer
1211;3675;Sementstabilisert pukk
1211;3676;Sementstabilisert grus
1211;6957;Skumgrus
1211;7862;Asfaltskumgrus
3513;13703;Signalregulering motorkjøretøy
3513;13704;Signalregulering sykkel
3513;13705;Trafikkregistrering motorkjøretøy
3513;16760;ATK
3513;13706;Trafikkregistrering sykkel
1183;4895;Induktivsløyfe, motorkjøretøy
1183;4896;Induktivsløyfe, sykkel
1183;4897;Piezo-elektrisk kabel
1183;4898;Infrarød detektor
5644;7935;Belysning i dagen
5644;7937;Bygning
5644;16305;Skilting
5644;16307;Trafikkregulering/overvåking
5644;7936;Tunnel
5644;16306;Pumper
5644;16309;Vifter
5644;16308;Utsmykking (broer etc)
10021;16312;NEK FEB 88
10021;16313;NEK FEB 91
10021;16311;NEK FEL 1998
10021;16310;NEK FEF 2006
10021;16314;Annet
10022;16315;NEK 400
10022;16316;NEK 400 : 2006
10022;16317;NEK 400 : 2010
10022;16318;NEK 440
10022;16319;NEK 445
10022;16320;NEK IEC 61936-1
10022;16321;NEK EN 50110-1
10022;16322;Tavlenorm
10022;16323;Annet
10026;16327;Stat
10026;16324;Fylkeskommune
10026;16325;Kommune
10026;16326;Privat
10028;16328;Ja
10028;16329;Nei
10031;16335;Ja
10031;16336;Nei
10032;16340;Spyd
10032;16341;Sammenkoplet med annet nett
10032;16339;Cu wiret
10032;16338;Antall kontroll/målepunkt
10032;16337;Annet
10033;16342;Felles for alle kurser
10033;16343;En for hver kurs
10033;16344;Hver mast
10033;16345;Kombinasjon
10034;16347;Ja
10034;16346;Nei
10035;16348;Direktemåling
10035;16349;Trafomåling
10035;16350;Summasjonsmåling
10029;16330;IT
10029;16331;TT
10029;16332;TN-C
10029;16333;TN-S
10029;16334;TN-C-S
10038;16351;12
10038;16353;24
10038;16352;230
10038;16354;400
10038;16355;230/400
10038;16717;690
8099;10493;Statens vegvesen
8099;10571;Kommune
8099;10649;Privat
9896;16075;Stat
9896;16076;Fylkeskommune
9896;16077;Kommune
9896;16078;Privat
9903;16084;Ja
9903;16085;Nei
9902;16121;12
9902;16122;24
9902;16123;230
9902;16124;400
9902;16720;690
